product_name,slug,google_images_url,bing_images_url
Satisfyer Pro 2,satisfyer-pro-2,https://www.google.com/search?tbm=isch&q=Satisfyer+Pro+2,https://www.bing.com/images/search?q=Satisfyer+Pro+2
Sugador “Porquinho” S-Hande,sugador-porquinho-s-hande,https://www.google.com/search?tbm=isch&q=Sugador+%E2%80%9CPorquinho%E2%80%9D+S-Hande,https://www.bing.com/images/search?q=Sugador+%E2%80%9CPorquinho%E2%80%9D+S-Hande
Intt Luxury Sugator 2,intt-luxury-sugator-2,https://www.google.com/search?tbm=isch&q=Intt+Luxury+Sugator+2,https://www.bing.com/images/search?q=Intt+Luxury+Sugator+2
Vibrador Rabbit duplo,vibrador-rabbit-duplo,https://www.google.com/search?tbm=isch&q=Vibrador+Rabbit+duplo,https://www.bing.com/images/search?q=Vibrador+Rabbit+duplo
Bullet recarregável,bullet-recarregavel,https://www.google.com/search?tbm=isch&q=Bullet+recarreg%C3%A1vel,https://www.bing.com/images/search?q=Bullet+recarreg%C3%A1vel
Bullet clássico AAA,bullet-classico-aaa,https://www.google.com/search?tbm=isch&q=Bullet+cl%C3%A1ssico+AAA,https://www.bing.com/images/search?q=Bullet+cl%C3%A1ssico+AAA
Wand Massageador (médio),wand-massageador-medio,https://www.google.com/search?tbm=isch&q=Wand+Massageador+%28m%C3%A9dio%29,https://www.bing.com/images/search?q=Wand+Massageador+%28m%C3%A9dio%29
Vibrador curvo ponto G,vibrador-curvo-ponto-g,https://www.google.com/search?tbm=isch&q=Vibrador+curvo+ponto+G,https://www.bing.com/images/search?q=Vibrador+curvo+ponto+G
Vibrador “língua”,vibrador-lingua,https://www.google.com/search?tbm=isch&q=Vibrador+%E2%80%9Cl%C3%ADngua%E2%80%9D,https://www.bing.com/images/search?q=Vibrador+%E2%80%9Cl%C3%ADngua%E2%80%9D
Vibrador app-control,vibrador-app-control,https://www.google.com/search?tbm=isch&q=Vibrador+app-control,https://www.bing.com/images/search?q=Vibrador+app-control
Bullet wireless remoto,bullet-wireless-remoto,https://www.google.com/search?tbm=isch&q=Bullet+wireless+remoto,https://www.bing.com/images/search?q=Bullet+wireless+remoto
Vibrador wearable labial,vibrador-wearable-labial,https://www.google.com/search?tbm=isch&q=Vibrador+wearable+labial,https://www.bing.com/images/search?q=Vibrador+wearable+labial
Vibrador flexível “bendy”,vibrador-flexivel-bendy,https://www.google.com/search?tbm=isch&q=Vibrador+flex%C3%ADvel+%E2%80%9Cbendy%E2%80%9D,https://www.bing.com/images/search?q=Vibrador+flex%C3%ADvel+%E2%80%9Cbendy%E2%80%9D
Vibrador micro-bullet chaveiro,vibrador-micro-bullet-chaveiro,https://www.google.com/search?tbm=isch&q=Vibrador+micro-bullet+chaveiro,https://www.bing.com/images/search?q=Vibrador+micro-bullet+chaveiro
Cone vibratório 360°,cone-vibratorio-360,https://www.google.com/search?tbm=isch&q=Cone+vibrat%C3%B3rio+360%C2%B0,https://www.bing.com/images/search?q=Cone+vibrat%C3%B3rio+360%C2%B0
Vibrador “sonic tongue”,vibrador-sonic-tongue,https://www.google.com/search?tbm=isch&q=Vibrador+%E2%80%9Csonic+tongue%E2%80%9D,https://www.bing.com/images/search?q=Vibrador+%E2%80%9Csonic+tongue%E2%80%9D
Vibrador ventosa banho,vibrador-ventosa-banho,https://www.google.com/search?tbm=isch&q=Vibrador+ventosa+banho,https://www.bing.com/images/search?q=Vibrador+ventosa+banho
Vibrador duelo (duas pontas),vibrador-duelo-duas-pontas,https://www.google.com/search?tbm=isch&q=Vibrador+duelo+%28duas+pontas%29,https://www.bing.com/images/search?q=Vibrador+duelo+%28duas+pontas%29
Vibrador alça ergonômica,vibrador-alca-ergonomica,https://www.google.com/search?tbm=isch&q=Vibrador+al%C3%A7a+ergon%C3%B4mica,https://www.bing.com/images/search?q=Vibrador+al%C3%A7a+ergon%C3%B4mica
Vibrador “ufo” palm-size,vibrador-ufo-palm-size,https://www.google.com/search?tbm=isch&q=Vibrador+%E2%80%9Cufo%E2%80%9D+palm-size,https://www.bing.com/images/search?q=Vibrador+%E2%80%9Cufo%E2%80%9D+palm-size
Vibrador com luz LED,vibrador-com-luz-led,https://www.google.com/search?tbm=isch&q=Vibrador+com+luz+LED,https://www.bing.com/images/search?q=Vibrador+com+luz+LED
Vibrador joia clitoriana,vibrador-joia-clitoriana,https://www.google.com/search?tbm=isch&q=Vibrador+joia+clitoriana,https://www.bing.com/images/search?q=Vibrador+joia+clitoriana
Anel peniano vibratório,anel-peniano-vibratorio,https://www.google.com/search?tbm=isch&q=Anel+peniano+vibrat%C3%B3rio,https://www.bing.com/images/search?q=Anel+peniano+vibrat%C3%B3rio
Anel peniano clássico silicone,anel-peniano-classico-silicone,https://www.google.com/search?tbm=isch&q=Anel+peniano+cl%C3%A1ssico+silicone,https://www.bing.com/images/search?q=Anel+peniano+cl%C3%A1ssico+silicone
Vibrador em U (We-Vibe style),vibrador-em-u-we-vibe-style,https://www.google.com/search?tbm=isch&q=Vibrador+em+U+%28We-Vibe+style%29,https://www.bing.com/images/search?q=Vibrador+em+U+%28We-Vibe+style%29
Egg vibratório wireless casal,egg-vibratorio-wireless-casal,https://www.google.com/search?tbm=isch&q=Egg+vibrat%C3%B3rio+wireless+casal,https://www.bing.com/images/search?q=Egg+vibrat%C3%B3rio+wireless+casal
Vibrador app-control para casal,vibrador-app-control-para-casal,https://www.google.com/search?tbm=isch&q=Vibrador+app-control+para+casal,https://www.bing.com/images/search?q=Vibrador+app-control+para+casal
Plug anal c/ controle remoto,plug-anal-c-controle-remoto,https://www.google.com/search?tbm=isch&q=Plug+anal+c%2F+controle+remoto,https://www.bing.com/images/search?q=Plug+anal+c%2F+controle+remoto
Conjunto 3 plugs anais iniciantes,conjunto-3-plugs-anais-iniciantes,https://www.google.com/search?tbm=isch&q=Conjunto+3+plugs+anais+iniciantes,https://www.bing.com/images/search?q=Conjunto+3+plugs+anais+iniciantes
Plug anal com cauda de raposa,plug-anal-com-cauda-de-raposa,https://www.google.com/search?tbm=isch&q=Plug+anal+com+cauda+de+raposa,https://www.bing.com/images/search?q=Plug+anal+com+cauda+de+raposa
Corda shibari 10 m,corda-shibari-10-m,https://www.google.com/search?tbm=isch&q=Corda+shibari+10+m,https://www.bing.com/images/search?q=Corda+shibari+10+m
Algemas metal cromado,algemas-metal-cromado,https://www.google.com/search?tbm=isch&q=Algemas+metal+cromado,https://www.bing.com/images/search?q=Algemas+metal+cromado
Dispositivo sincronizado música,dispositivo-sincronizado-musica,https://www.google.com/search?tbm=isch&q=Dispositivo+sincronizado+m%C3%BAsica,https://www.bing.com/images/search?q=Dispositivo+sincronizado+m%C3%BAsica
Bullet pareado (dois controles),bullet-pareado-dois-controles,https://www.google.com/search?tbm=isch&q=Bullet+pareado+%28dois+controles%29,https://www.bing.com/images/search?q=Bullet+pareado+%28dois+controles%29
Plug anal c/ luz LED RGB,plug-anal-c-luz-led-rgb,https://www.google.com/search?tbm=isch&q=Plug+anal+c%2F+luz+LED+RGB,https://www.bing.com/images/search?q=Plug+anal+c%2F+luz+LED+RGB
Autoblow AI,autoblow-ai,https://www.google.com/search?tbm=isch&q=Autoblow+AI,https://www.bing.com/images/search?q=Autoblow+AI
Masturbador VR + suporte,masturbador-vr-suporte,https://www.google.com/search?tbm=isch&q=Masturbador+VR+%2B+suporte,https://www.bing.com/images/search?q=Masturbador+VR+%2B+suporte
Masturbador automático “piston”,masturbador-automatico-piston,https://www.google.com/search?tbm=isch&q=Masturbador+autom%C3%A1tico+%E2%80%9Cpiston%E2%80%9D,https://www.bing.com/images/search?q=Masturbador+autom%C3%A1tico+%E2%80%9Cpiston%E2%80%9D
Suporte vr-stroker sync,suporte-vr-stroker-sync,https://www.google.com/search?tbm=isch&q=Suporte+vr-stroker+sync,https://www.bing.com/images/search?q=Suporte+vr-stroker+sync
VR Porn subscription bundle code,vr-porn-subscription-bundle-code,https://www.google.com/search?tbm=isch&q=VR+Porn+subscription+bundle+code,https://www.bing.com/images/search?q=VR+Porn+subscription+bundle+code
Luvas táteis VR sex,luvas-tateis-vr-sex,https://www.google.com/search?tbm=isch&q=Luvas+t%C3%A1teis+VR+sex,https://www.bing.com/images/search?q=Luvas+t%C3%A1teis+VR+sex
Tapete sensorial vibro-sônico,tapete-sensorial-vibro-sonico,https://www.google.com/search?tbm=isch&q=Tapete+sensorial+vibro-s%C3%B4nico,https://www.bing.com/images/search?q=Tapete+sensorial+vibro-s%C3%B4nico
Plug anal joystick controle,plug-anal-joystick-controle,https://www.google.com/search?tbm=isch&q=Plug+anal+joystick+controle,https://www.bing.com/images/search?q=Plug+anal+joystick+controle
Creme dessensibilizante oral,creme-dessensibilizante-oral,https://www.google.com/search?tbm=isch&q=Creme+dessensibilizante+oral,https://www.bing.com/images/search?q=Creme+dessensibilizante+oral
Jogo dado “Truth or Dare” hot,jogo-dado-truth-or-dare-hot,https://www.google.com/search?tbm=isch&q=Jogo+dado+%E2%80%9CTruth+or+Dare%E2%80%9D+hot,https://www.bing.com/images/search?q=Jogo+dado+%E2%80%9CTruth+or+Dare%E2%80%9D+hot
Lubrificante vegano neutro,lubrificante-vegano-neutro,https://www.google.com/search?tbm=isch&q=Lubrificante+vegano+neutro,https://www.bing.com/images/search?q=Lubrificante+vegano+neutro
Gel choque elétrico seguro,gel-choque-eletrico-seguro,https://www.google.com/search?tbm=isch&q=Gel+choque+el%C3%A9trico+seguro,https://www.bing.com/images/search?q=Gel+choque+el%C3%A9trico+seguro
Óleo dry-touch sem mancha,oleo-dry-touch-sem-mancha,https://www.google.com/search?tbm=isch&q=%C3%93leo+dry-touch+sem+mancha,https://www.bing.com/images/search?q=%C3%93leo+dry-touch+sem+mancha
Vela beijável sabor champagne,vela-beijavel-sabor-champagne,https://www.google.com/search?tbm=isch&q=Vela+beij%C3%A1vel+sabor+champagne,https://www.bing.com/images/search?q=Vela+beij%C3%A1vel+sabor+champagne
Kit Dia dos Namorados luxo,kit-dia-dos-namorados-luxo,https://www.google.com/search?tbm=isch&q=Kit+Dia+dos+Namorados+luxo,https://www.bing.com/images/search?q=Kit+Dia+dos+Namorados+luxo
Spray adstringente feminino,spray-adstringente-feminino,https://www.google.com/search?tbm=isch&q=Spray+adstringente+feminino,https://www.bing.com/images/search?q=Spray+adstringente+feminino
Gel excitante unissex mentol,gel-excitante-unissex-mentol,https://www.google.com/search?tbm=isch&q=Gel+excitante+unissex+mentol,https://www.bing.com/images/search?q=Gel+excitante+unissex+mentol
Gel excitante masculino extra quente,gel-excitante-masculino-extra-quente,https://www.google.com/search?tbm=isch&q=Gel+excitante+masculino+extra+quente,https://www.bing.com/images/search?q=Gel+excitante+masculino+extra+quente
Preservativo sabores sortidos,preservativo-sabores-sortidos,https://www.google.com/search?tbm=isch&q=Preservativo+sabores+sortidos,https://www.bing.com/images/search?q=Preservativo+sabores+sortidos
